iter	Logloss
0	0.6210554568
1	0.5610127002
2	0.508663947
3	0.4638253831
4	0.420807321
5	0.384066069
6	0.3532811488
7	0.3252779512
8	0.2998549533
9	0.2792287468
10	0.2599965004
11	0.2439407863
12	0.2305488103
13	0.2180970937
14	0.2067295405
15	0.1972273168
16	0.1887443443
17	0.1815283041
18	0.1749689633
19	0.1692189208
20	0.1633724446
21	0.1581264558
22	0.1533772297
23	0.149439113
24	0.1455428802
25	0.1423291954
26	0.1391121937
27	0.1361203616
28	0.1336498652
29	0.1313969714
30	0.1292505151
31	0.1270256733
32	0.1252603302
33	0.1236475309
34	0.1218523213
35	0.1200083705
36	0.1185193746
37	0.1170948061
38	0.1159238364
39	0.1148370215
40	0.1133313678
41	0.1123632044
42	0.1113336583
43	0.1101173641
44	0.1087799601
45	0.108012342
46	0.1070212905
47	0.1058831288
48	0.1051371549
49	0.1043470663
50	0.103746824
51	0.1030310729
52	0.1023264476
53	0.1017336957
54	0.1011588669
55	0.1003753696
56	0.09965187507
57	0.09891221734
58	0.09819980945
59	0.09776829362
60	0.09731274365
61	0.09668431207
62	0.09622983917
63	0.09563236592
64	0.09517051885
65	0.09469457114
66	0.09417774801
67	0.09380910392
68	0.09329370105
69	0.0928457273
70	0.09249328476
71	0.09204069395
72	0.09164739358
73	0.09108666608
74	0.09057749621
75	0.09033288277
76	0.08996897769
77	0.08955999319
78	0.08921992295
79	0.08893604141
80	0.0889140012
81	0.08853707655
82	0.08820435818
83	0.08772778215
84	0.0873750813
85	0.0870200623
86	0.08685269709
87	0.08639232925
88	0.08616454447
89	0.0858525892
90	0.08555836855
91	0.08543229152
92	0.08524657271
93	0.08507383716
94	0.08506869986
95	0.08487105474
96	0.08468010039
97	0.08445471756
98	0.08423906426
99	0.08400176468
100	0.08386107193
101	0.08355200995
102	0.08342853483
103	0.08312981156
104	0.08295807294
105	0.08278245907
106	0.08261434837
107	0.08242221494
108	0.08225774329
109	0.08220396998
110	0.08197094701
111	0.08196651048
112	0.08179987142
113	0.08164219135
114	0.08142804583
115	0.08142488598
116	0.08131603523
117	0.08108980199
118	0.08092512047
119	0.08076545798
120	0.08060965024
121	0.08045566696
122	0.08031148145
123	0.08017735605
124	0.07997168164
125	0.07991097398
126	0.07982462573
127	0.07973844169
128	0.07963131883
129	0.0795252397
130	0.0793574935
131	0.07918691252
132	0.07912988111
133	0.07905562594
134	0.07894221065
135	0.0787704428
136	0.07862524815
137	0.07858788354
138	0.07854490398
139	0.07853803648
140	0.07841971137
141	0.07841522122
142	0.07841074762
143	0.07823893837
144	0.07808751226
145	0.07796554359
146	0.07784145377
147	0.07773955963
148	0.07760620819
149	0.07760021103
150	0.07756155051
151	0.07748585235
152	0.07728617089
153	0.07720386033
154	0.07709640816
155	0.07703369619
156	0.07685691967
157	0.07674075366
158	0.07673493942
159	0.07662745191
160	0.07652732778
